paperID,evaluation_provided,explanation,Scenario,Environment,Teaming,Learning,Monitoring,Management
Almroth2020_CRATE,no,n/a,,,,,,
Antonopoulos2022_PredictionEngine,no,n/a,,,,,,
Braghin2020_TowardsTheMonitoring,no,"n/a, evaluation module proposed, but primarily for trainee assessment not cyber range evaluation",,,,,,
Collins2022_SocInABox,no,,,,,,,
Debatty2019_CyberDefenseSituationalAwareness,no,n/a,,,,,,
Deckard2018_Cybertropolis,no,n/a,,,,,,
Ficco2019_Leaf,no,"n/a, platform includes user assessment (points), yet not demonstrated or linked to the evaluation of the cyber range itself",,,,,,
Friedl2022_ForCyRange,no,,,,,,,
Gustafsson2021_CRATE,no,"n/a, architecture includes an exercise manager which allows to evaluate the trainees' performaance after the exercise which could possibly be used to evaluate the cyber range concept itself aswell, this is, however, usage, however, not described",,,,,,
Karjalainen2020_CyberArena,no,n/a,,,,,,
Kucek2020_HumanInTheLoop,no,n/a,,,,,,
Larrucea2020_Edu,no,n/a,,,,,,
Larrucea2020_ICSBasedScenarioGenerator,no,n/a,,,,,,
Leitner2020_AITCyberRange,no,n/a,,,,,,
Mahmoud2021_DeAtt,no,n/a,,,,,,
Mengidis2022_ECHO,no,,,,,,,
Oikonomou2021_ECHOFederated,no,n/a,,,,,,
Orbinato2021_CRaaS,no,n/a,,,,,,
Pihelgas2021_Frankenstack,no,"n/a, strives for a better method to provide trainees with immediate feedback, this is, however, not seen as a direct source for evaluation",,,,,,
Potamos2021_MaritimeCyberRange,no,n/a,,,,,,
Rebecchi2022_SPIDER,no,,,,,,,
Russo2020_NextGen,no,n/a,,,,,,
Sharifi2021_IoTCyberRange,no,,,,,,,
Smyrlis2020_ProgrammeSpecification,no,"n/a, infrastructure includes evaluation component to assess the trainee, possibly to be used to evaluate the cyber range concept aswell but not described further",,,,,,
Somarakis2020_ModelDriven,no,n/a,,,,,,
Vakaruk2021_DigitalTwin5G,no,n/a,,,,,,
Vykopal2021_ScalableLearningEnv,no,"n/a, different aspect of kypo cyber range",,,,,,
Zanasi2021_ECHO,no,n/a,,,,,,
Arshad2021_AttackSpecificationLanguage,yes,"game theory evaluation (non-empirical) of the scenario generation using (ADL), demonstrating that dynamic scenarios lead to better training for trainees",,,,x,,
Bernardinetti2021_Nautilus,yes,evaluation of usability of scenario definition for trainers,,,,,,x
Beuran2018_Cytrone,yes,"functionality (NIST technical guide on information security testing and assessment); evaluation of usability of scenario definition for trainers; interviews with the trainers, qualitative/unstructured feedback; performance evaluation: ",x,x,,,,x
Beuran2019_RealisticCybersecurityManagement,yes,"functions, requirements and performance; functions and requirements descriptive (function/requirement fulfilled y/n)",x,x,,,,x
Beuran2022_AWS,yes,evaluation of a cloud based (AWS EC2) cyber range against local KVM hosting,,x,,,,
Caturano2020_CapturingFlags,yes,functionality (what kind of vulnerabilities can be be reproduced using the proposed containerization approach),x,,,,,
Caturano2022_Docker,yes,functional evaluation of the features of the scenario generation module,,x,,,,
Fenton2019_IntegratingCyberRangeTechnologies,yes,pre/test evaluation trainees' skills and knowledge,,,,x,,
Glas2022_Visual,yes,"pre/post knowledge assessment (multiple choice questions), assessent of learning experience (engagement and perceived cognitive workload)",,,,x,,
Hatzivasilis2021_ThreatArrest,yes,"feature based evaluation;
includes assurance tool that monitors the system's security posture, yet, this is to enable stable exercises not for evaluating the cyber range itseld, however this data could be used for this",x,x,,,x,
Jacq2021_CyberMAR,yes,"feedback on interest, motivation and awareness raising",,,,x,,
Nakata2021_CyExec,yes,"fidelity (number of detected vulnerabilities) and performance (startup time, CPU load etc.)",,x,,,,
Oslejsek2018_EvaluationOfCyberDefenseExercises,yes,"Skill improvement: pre-and post exercise surveys, exercise scores; subjective level of involvement (engagement), notes taken by the green team during the exercise regaring stability of the system",,x,,x,,
Peratikou2021_OnFederated,yes,performance of interconnection between different cyber ranges,,x,,,,
Pham2016_CyRIS,yes,functions amd performance,x,x,,,,
Puys2021_HardwareInTheLoop,yes,"interviews with the trainees, qualitative/unstructured feedback",,,,x,,
Raybourn2018_ZeroEntry,yes,"qualitative (anecdotal feedback/interviews, during and after the exercise)",,,,x,,
Roberts2021_CybersecurityTestRange,yes,"functionality (effects of attacks, resilience of the vehicle)",x,,,,,
Russo2020_Crack,yes,"fuctionalities and performance (loc, reusablility)",,x,,,,
Shrivastava2022_CyberPhysicalExercises,yes,Stress test to test the reliability of the framework,,x,,,,
Svabensky2018_SeriousGames,yes,"students report about their results and experiences on creating serious games for the CR and their experience within the groupwork, users (university members and experts) rate the games",,,x,x,,
Tang2017_InteractiveCybersecurityDefense,yes,"question-based evaluation regarding user experience (quality of interaction, effectiveness); performance evaluation ",,x,,x,,
Tian2018_RealTimeCorrelation,yes,performance,,,,,x,
Vekaria2021_CyberRangeForResearchInspired,yes,"divided evaluation: Testbed Setup (how to set up the cyber range) and Usability (effectivity of the exercise for trainees);
1: time to deploy/install infrastructure
2: assessment before and after the exercise, based on blooms konwledge categories; feedback statements regrading experience",,x,,x,,
Vielberth2021_DigitalTwinBasedCyberRange,yes,"pre/test evaluation trainees' skills and knowledge, questionnaire evaluating learning experience",,,,x,,
Vykopal2017_LessonsLearned,yes,"assessment of team's actions after the training, feedback-survey, after-exercise workshop for the trainees, red team describes how they executed the attacks ",,,,x,,
Yamin2021_SeriousGames,yes,"(a) learning experience: subjective assessment, interview to determine cognitive abilities (post exercise) (b) usability for trainers (SDL)",,,,x,,
Yamin2022_CyberAttackDefenseAgents,yes,evaluation of attack and defense agents used in a CRX,,x,,x,,x
Yamin2022_Modeling,yes,"self-assessment questionnaires, description of the environment",,x,,x,,x
Yonemura2021_CybersecurityTeachingExpert,yes,long term self-assessment of the participants (how familiar are you with…?),,,,x,,
Yonemura2022_KOSEN2,yes,"evaluation of the second year of the HACK program at KOSEN, self-assessment of teaching staff and students regarding their skills development",,,,x,,
