Authors,PaperID,Year,Title,Publisher,Publication,included,description
"Almroth, Jonas; Gustafsson, Tommy";Almroth2020_CRATE;2020;CRATE Exercise Control - A cyber defense exercise management and support tool;IEEE;2020 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW);yes;CRATE cyber range, keine Evaluation, nur Nachbesprechung mit den trainees
"Arshad, Sobia; Alam, Masoom; Al-Kuwari, Saif; Khan, Muhammad Haider Ali";Arshad2021_AttackSpecificationLanguage;2021;Attack Specification Language: Domain Specific Language for Dynamic Training in Cyber Range;IEEE;2021 IEEE Global Engineering Education Conference (EDUCON);yes;"ASL based on mittre attack that allows to define dynamic attacks, automated adoption of the scenario to the trainee's skills (every task is assigned a difficulty); game theory evaluation"
"Bernardinetti, Giorgio; Iafrate, Stefano; Bianchi, Giuseppe";Bernardinetti2021_Nautilus;2021;Nautilus: A Tool For Automated Deployment And Sharing Of Cyber Range Scenarios;ACM;The 16th International Conference on Availability, Reliability and Security;yes;"cyber range concept that facilitates sharing and reusing scenarios from other cyber ranges (knowledge sharing platform); introduction of scenario definition language; evaluation of usability for trainers; very nice motivation of the topic; read again; similar to Yamin2021 (serious gaming) approach"
"Beuran, Razvan; Tang, Dat; Pham, Cuong; Chinen, Ken-ichi; Tan, Yasuo; Shinoda, Yoichi";Beuran2018_Cytrone;2018;Integrated framework for hands-on cybersecurity training: CyTrONE,;Elsevier;Computers & Security,;yes;cyTrONE, comprehensive description of the cr infrastructure, focuses mainly on technical aspects not the design of the scenarios, well-described goals, evaluation (n=4) with users that were asked to create scenarios using cytrone
"Beuran, Razvan; Inoue, Takuya; Tan, Yasuo; Shinoda, Yoichi";Beuran2019_RealisticCybersecurityManagement;2019;Realistic Cybersecurity Training via Scenario Progression Management;IEEE;2019 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW);yes;CyTrONE, good description, requirements, evaluation but not empiricalh, but only related to the functions
"Braghin, Chiara; Cimato, Stelvio; Damiani, Ernesto; Frati, Fulvio; Riccobene, Elvinia; Astaneh, Sadegh";Braghin2020_TowardsTheMonitoring;2020;Towards the Monitoring and Evaluation of Trainees' Activities in Cyber Ranges;Springer;Model-driven Simulation and Training Environments for Cybersecurity;yes;"measuring trainee performance during the cyber range (THREAT ARREST), not only time spent and task fulfillment but also the trace of actions the trainee takes; introduce taxonomy of trainee activities"
"Caturano, Francesco; Perrone, Gaetano; Romano, Simon Pietro";Caturano2020_CapturingFlags;2020;Capturing flags in a dynamically deployed microservices-based heterogeneous environment;IEEE;2020 Principles, Systems and Applications of IP Telecommunications (IPTComm);yes;"usage of containers -> scalability, performance, usability; good overview which vulnerabilities can be simulated with docker and which not"
"Debatty, Thibault; Mees, Wim";Debatty2019_CyberDefenseSituationalAwareness;2019;Building a Cyber Range for training CyberDefense Situation Awareness;IEEE;2019 International Conference on Military Communications and Information Systems (ICMCIS);yes;Very good description with focus on what should be taught (teaming, skills, knowledge in situational awareness), but also description of implementation, no evaluation.
Deckard, Gary M.;Deckard2018_Cybertropolis;2018;Cybertropolis: breaking the paradigm of cyber-ranges and testbeds;IEEE;2018 IEEE International Symposium on Technologies for Homeland Security (HST);yes;"training facility of US DoD in India with ""real"" control centers, but also hydropower plant, smart home, etc."
"Fenton, Demitrius; Traylor, Terry; Hokanson, Guy; Straub, Jeremy";Fenton2019_IntegratingCyberRangeTechnologies;2019;Integrating Cyber Range Technologies and Certification Programs to Improve Cybersecurity Training Programs;Springer;The Challenges of the Digital Transformation in Education;yes;"GESED cyber range, focuses mainly on gamification and cost-efficiency, evaluation with pre and post knowledge/skill questions, good description of results; cyber range should help trainees prepare for certification; cool paper"
"Ficco, Massimo; Palmieri, Francesco";Ficco2019_Leaf;2019;Leaf: An open-source cybersecurity training platform for realistic edge-IoT scenarios,;Elsevier;Journal of Systems Architecture,;yes;aims to provide an open source cyber range that is both realisitic and easy to implement, however, seems more like a framework than a platform
"Gustafsson, Tommy; Almroth, Jonas";Gustafsson2021_CRATE;2021;Cyber Range Automation Overview with a Case Study of CRATE;Springer;Secure IT Systems;yes;Comparison of automation in different cyber ranges, presentation of CRATE.
